Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
Apocynum androsaemifolium L.	spreading dogbane (Eng.); apocyn à feuilles d'androsème, herbe à puce, gobe-mouches (Fr.); tōtōsāpowask (Cree); ma'kwona'gĭc odji'bĭk, wesa'wûckwûn, sasa'bikwan (Ojibwa)	Whole plant: Tea given to increase lactation in nursing mothers, and cooled tea used as eyewash to treat sore eyes from smoke or snow blindness [Metis: 13; Cree: 95]. 
Apocynaceae, Herb		Roots: Dried, pulverized and snuffed up the nostrils, or put on hot stones and the fumes are inhaled, against headache. Powdered, moistened with lukewarm water and applied to incisions on the temples to treat headache. Decoction used to treat heart palpitation. Very weak decoction taken internally to treat cold. Cotton moistened with decoction used to stop nostril bleeding, or in severe cases mashed roots are used as a plug. Decoction poured into ear to treat soreness [Ojibwa: 47]. Placed upon live coals and the incense inhaled for throat trouble [Ojibwa: 87].
		Stalk and roots: Steeped to make a tea for women to drink to keep the kidneys free during pregnancy [Ojibwa: 87]. 
Apocynum cannabinum L.	Indian hemp (Eng.); apocyn chanvrin (Fr.)	Medicinal plant [Cree: 42]. Steeped in water and administered to expel worms [Algonquians: 63]. 
Syn.: A. hypericifolium Aiton		
Apocynaceae, Herb		
Aquilegia canadensis L.	wild columbine (Eng.); ancolie du Canada (Fr.)	Roots: Used for stomach troubles [Ojibwa: 87].
Ranunculaceae, Herb		
Aralia hispida Vent.	bristly sarsaparilla, dwarf-elder (Eng.); aralie hispide, salsepareille (Fr.); nishitshikâta (Montagnais)	Roots: Used in heart disease [Algonquin: 69]. 
Araliaceae, Herb		Root bark: Scraped and dried before being used to prepare a tea for cough [Montagnais: 71].
Aralia nudicaulis L.	wild sarsaparilla (Eng.); aralie à tige nue, salsepareille (Fr.); ba-gwa-nan, wabos'odji'bĭk, bebamabi'k (Ojibwa); wāposōcēpīhk, wāposocīpihk, wāpōsogībī (Cree); gajíé (Chipewyan); wapacak (Atikamekw); saçat'sek, sasôgsek (Abenaki)	Tea used as a blood medicine, for fainting and fits [Ojibwa: 86], or as a tonic [Abenaki: 67]. Decoction (excluding fruit) used to treat pneumonia in children [Cree: 95]. 
Araliaceae, Herb		Leaves: Boiled with stems of Sorbus scopulina and Sarracenia purpurea to make a tea taken to relieve chest pain [Chipewyan: 92]. 
		Roots: Used as a diuretic and alterative [Cree: 74]. Dried and crushed to a powder and steeped with sweet flag for cough, steeped and taken in weakness. Boiled in a box with hot stones, and decoction taken internally for stomachache, or merely as a beverage [Algonquians: 63]. Chewed and inserted in an aching ear [Atikamekw: 73]. Pounded in a mortar, boiled in hot water and used for blood purification during pregnancy [Ojibwa: 87]. Used as stimulant [Ojibwa: 88]. Fresh root pounded and applied as a poultice to bring a boil to a head or to cure a carbuncle [Ojibwa: 87]. Decoction used as a remedy for blood problems, or applied to a sore. Dried and powdered, or fresh root chewed and inserted in nostril to stop nose bleeding. Decoction of stalk of Ribes triste, root of Aralia racemosa and root of Aralia nudicaulis taken for amenorrhoea [Ojibwa: 47]. Powdered, steeped in water and used to treat cold and influenza [Mi'kmaq: 62]. Powdered and used in many-herb remedy to treat various ailments. Decoction taken internally for teething [Cree: 95]. Poultice used to treat infected wounds [Cree: 13, 93]. Tea for kidney disorders [Algonquin: 69].
		Fruiting stalk: Decoction used to stimulate lactation. [Cree: 95].
		Rhizomes: Chewed or made into a tea to treat heart pain, chronic chest pain, upset stomach, liver problems [Dene: 13; Chipewyan: 92] and sore throat [Cree: 13]. Poultice used to treat skin disorders, bee stings, cuts and burns [Cree: 96].
Aralia racemosa L.	spikenard, petty morel, life-of-man (Eng.); aralie à grappes, grande salsepareille, anis sauvage (Fr.); či-kadak, o'kadak' (Ojibwa); skidjinawi'widjp'k' (Malecite)	Small quantity of this plant with small quantities of Pyrola uliginosa, Baptisia tinctoria, Galium aperine, Streptopus amplexifolius, Acer pennsylvanicum and Eupatorium perfoliatum used for gonorrhea, kidney troubles and for blood spitting [Algonquians: 63]. Boiled and applied to wounds [Mi'kmaq: 43].
Araliaceae, Herb		Roots: Infusion used as medicine [Ojibwa: 86]. Used to make poultices for boils [Chippewa: 85]. Tea used to treat tuberculosis, or combined with Euphorbia spp. to treat diabetes [Algonquin: 69]. Mixed with Cornus stolonifera and smoked against headache. Steeped and taken in consumption, against gonorrhoea, or mixed with black snakeroot in kidney trouble [Malecite: 65]. Grinded and taken with water for cold, cough and sore throat [Mi'kmaq: 62]. Steeped in water and drunk for cold [Mi'kmaq: 62]. Decoction taken in cough Poultice applied to boils, fractures, sprain or strained muscles [Ojibwa: 47] or to the feet in general dropsy [44]. Decoction of stalk of Ribes triste, root of Aralia racemosa and root of Aralia nudicaulis taken for amenorrhoea [Ojibwa: 47]. Rhizome/root used as a carminative as well as an expectorant and antiseptic in cough, chest pain and mortification [44].
		Fruits: Juice and oil of the seeds poured into the ears to treat deafness [44]. 
*Arctium lappa L.	burdock (Eng.); bardane majeure (Fr.)	Used as blood medicine [Ojibwa: 86]. 
Asteraceae, Herb		Roots: Crushed with buds of Populus balsamifera and applied to sores [Malecite: 65].
		Buds: Steeped and used in chancre [Malecite: 65].
*Arctium minus Bernh.	burdock (Eng.); bardane mineure (Fr.); wi'sûgibûg', gi'masan, wi'sûgibûg (Ojibwa); saga'dabohag, oné'bag (Abenaki)	For fever, headache and rheumatism [Abenaki: 67]. 
Asteraceae, Herb		Roots: Mashed, heated and used as a poultice for boils and absceses [Algonquians: 63]. Used as a tonic or as part of a medicine for stomachache [Ojibwa: 87].
		Leaves: Infusion taken in cough [Ojibwa: 47]. 
Arctostaphylos alpina (L.) Spreng.	alpine bearberry (Eng.); busserole alpine (Fr.); sah-gah-go-me-nah-gah-shen, bi-gwa-dji-mi-squa-bimag (Ojibwa)	Infusion used as a wash for rheumatism and general illnesses [Ojibwa: 19].
Ericaceae, Shrub		Bark: Decoction used for blood problems [Ojibwa: 19]. 
		Leaves: Smoked to induce intoxication [Ojibwa: 86]. 
Arctostaphylos uva-ursi (L.) Spreng.	bearberry (Eng.); raisin d'ours (Fr.); kinnikinnick (Algonquian); āchiygasipuk, muskimina, muskominanatik, pithīkōmin, kinnikinick (Cree); dé(lh)ni (Chipewyan); saga'komĭnagûnj', me-squah-be-mag (Ojibwa)	Whole plant: Mixed with that Vaccinium myrtilloides in a tea taken to trigger menstruation [Cree: 95].
Ericaceae, Shrub		Stem: Mixed with Vaccinum myrtilloides in a decoction taken to prevent miscarriage and speed up recovery after childbirth [Cree: 95]. 
		Stem, leaves and fruits: Decoction drunk for pain in the back and sprained back [44]. Leaves and fruits: Tonic [Mi'kmaq: 62]. 
		Leaves: Decoction drunk to treat bladder and kidney problems [Metis: 13]. Dried and pulverized and combined with tobacco or red willow and smoked with a pipe to treat headache [Chippewa: 47] or intoxication [Ojibwa: 86]. 
		Fruits: Mixed with grease and taken against diarrhoea [Cree: 95]. 
		Roots: Tea drunk to treat a persistent cough [Dene: 13; Chipewyan: 92]. Mixed with herbs and given in excessive menstrual bleeding [Cree: 95].
		Bark: Tea with bark and root of Salix discolour, Pinus strobus, Quercus rubra and Pinus banksiana given in fainting and fits [Ojibwa: 86]. 
Arisaema triphyllum (L.) Schott.	Indian turnip, jack-in-the-pulpit (Eng.); petit prêcheur (Fr.); pogdjinsgwewiwazis (Malecite); sag-a-ba (Mi'kmaq); caca'gomîn (Ojibwa)	General medicine [Ojibwa: 86]. Steeped to make a liniment for external use [Mi'kmaq: 44; Algonquians: 63]. Scraped, pounded, moistened and applied as a poultice on abscesses and boils [Malecite: 65]. 
Araceae, Herb		Root bulbs: Used to treat tuberculosis and as a general stomach medicine [Mi'kmaq: 62]. 
		Roots: Decoction used to treat sore eyes [Ojibwa: 47, 86].
Aristolochia serpentaria L.	virginia snake-root (Eng.); serpentaire de Virginie (Fr.)	Roots: Steeped and used for fits [Algonquians: 63].
Aristolochiaceae, Herb		
Arnica angustifolia Vahl	alpine arnica (Eng.); arnica à feuilles étroites (Fr.); at'an tsoo (Dene)	Flowers: Petals mixed with grease or oil to make an ointment used to rub aching muscles [Dene: 100]. 
Syn: Arnica alpina (L.) Olin		Above-ground parts: Tea used to treat skin rash [Dene: 100]. 
Asteraceae, Herb		
*Artemisia absinthium L.	wormwood (Eng.); armoise absinthe (Fr.); muse'odji'bĭk (Ojibwa)	Entire top of plant boiled and used as a warm compress to treat sprain of strained muscles [Ojibwa: 47].
Asteraceae, Herb		
Artemisia campestris L.	field sagewort (Eng.); armoise rouge, aurone sauvage (Fr.); denek'áze'eya(ha)naidíé (Chipewyan)	Roots: Chewed and juice swallowed as an emetic or to treat a sore throat [Dene: 13]. Tea drunk against constipation [Ojibwa: 19]. Chewed to cure sore throat or to induce vomiting [Chipewyan: 92].
Asteraceae, Herb		
Artemisia dracunculus L.	fuzzy weed, dragon wormwood (Eng.); estragon (Fr.); ba'sibûgûk', o'gima'wûck (Ojibwa)	Leaves and flowers: Dried, steeped in water and taken to treat heart palpitation. Chewed and used as a poultice to stop bleeding from wounds [Ojibwa: 47].
Syn.: A.dracunculoides L.		Leaves: Chewed to treat heart palpitation. Dried, steeped and taken to treat dysentery [Ojibwa: 47].
Asteraceae, Herb		Leaves and stalks: Decoction taken in amenorrhoea [Ojibwa: 47].
		Leaves, stalks and roots: Decoction taken to ease labor [Ojibwa: 47]. 
		Root: Mixed with Dirca palustris in a decoction used as hair ointment. Decoction taken in amenorrhoea. Strong decoction used as a bath for strengthening children or elders [Ojibwa: 47]. 
Artemisia frigida Willd.	prairie sagebrush, wild sage, pasture sage, fringed sagewort (Eng.); armoise douce (Fr.); mostosowehkuskwa, moostooswehkuskwa, mōstōsowīkask (Cree); bi'jikiwĭn'gûck (Ojibwa)	Leaves: Rubbed on the skin as an insect repellant [Cree, Metis: 13]. Boiled leaves used as a poultice to treat skin problems, including promoting healing of burns with limited scarring [Cree: 13]. Tea drunk to relieve back pain caused by kidney trouble, to rid the body of intestinal worms, as a diuretic to treat bladder infections and other urinary disorders, to relieve the body of toxins, as a tonic to promote healing, as a gargle to treat a sore throat, as a wash for wounds and to clear blurred vision, and as a bath for sore feet, rheumatism, or arthritis [Metis: 13]. Chewed to freshen the breath [Cree: 13]. Decoction used in fever and headache [Cree: 95]. Dried, scrumbled, and placed on a hot stone, and fumes used as a disinfectant [Ojibwa: 47].
Asteraceae, Herb		Roots: Mixed with Rosa arkansana, Astragalus crassicarpus and Polygola senega in a decoction used to stop bleeding from wounds, as a tonic, stimulant and antidote. Decoction used as an anti-convulsive [Ojibwa: 47]. 
Artemisia ludoviciana Nutt. ssp. ludoviciana	white mugwort (Eng.); armoise de Louisiane (Fr.); nokwe'jigûn (Ojibwa)	Flowers: Dried and placed on coals, fumes act as an antidote for "bad medicine" [Ojibwa: 47]. 
Syn.: A. gnaphalodes Nutt.		
Asteraceae, Herb		
Artemisia norvegica ssp. saxatilis (Besser) H.M. Hall & Clements Syn: A. arctica Less. ssp. arctica	mountain sagewort, arctic wormwood (Eng.); armoise saxatile (Fr.)	Roots: Boiled and drunk to treat backpain [Dene: 98].
Asteraceae, Herb		
Artemisia sp.		Decoction used for stomach troubles, cold, worms, and other ailments [44].
Asteraceae, Herb		
Artemisia tilesii Ledeb.	Tilesius wormwood (Eng.); armoise de Tilesius (Fr.); gyùu tsanh (Dene)	Tea used for cold and sore throat. Steam inhaled to clear nasal passages [Dene: 99]. Used to treat congested chest and to clear a stuffy head or nose [Dene: 100]. 
Syn.: A. tilesii Ledeb. ssp. elatior (Torr. & A. Gray) Hultén		Flowers: Boiled and drunk to treat cough and liver ailments [Dene: 98].
Asteraceae, Herb		
Asarum canadense L.	wild ginger (Eng.); asaret du Canada, gingembre sauvage (Fr.); dagmigwe-al (Malecite); agabwen, name'pîn (Ojibwa); alna'badipwa'beule (Abenaki)	Roots: Used as general medicine [Ojibwa: 85, 87]. Remedies for bruises and contusions [Algonquians: 63]. Tea drunk for fever and convulsions in infants [Algonquin: 69]. Steeped and given in cramps [Malecite: 65]. Used as cough medicine [Abenaki: 67]. Mixed with Plantago major to make a poultice used to treat inflamed skin. Dried, mashed and applied as a poultice on fractures [Ojibwa: 47].  
Aristolochiaceae, Herb		Rhizomes and roots: Used as a carminative [Ojibwa: 88] or as a remedy for stomach troubles [44].
Asclepias syriaca L.	milkweed (Eng.); asclépiade commune, petits cochons (Fr.); inĭ'nĭwûnj, cabo'sîkûn (Ojibwa)	Roots: Used as a "female remedy" [Ojibwa: 87]. Decoction used in confinement [Ojibwa: 47]. 
Asclepiadaceae, Herb		
Asclepias tuberosa L.	butterfly milkweed, pleurisy root (Eng.) asclépiade tubéreuse (Fr.)	Roots: Used as a diaphoretic and cold medicine [Penobscot: 44]. Eaten raw for pulmonary troubles, chewed and put on wounds or pulverized on wounds, and also applied as a remedy for old obstinate sores [44]. 
Asclepiadaceae, Herb		
Aspidium cristatum (L.) Sw.	shield fern (Eng.); dryoptère à crêtes (Fr.); ana'ganûck (Ojibwa)	Roots: Tea taken in stomach troubles [Ojibwa: 87]. 
Polypodiaceae, Herb		
Astragalus americanus (Hook.) M.E. Jones	American milk-vetch, rattle-pod (Eng.); astragale d'Amérique (Fr.); kāsīsīkwānīpathisihk (Cree)	Roots: Chewed and juice swallowed to treat stomachache, cramps or stomach flu [Cree: 95].
Fabaceae, Herb		
Astragalus crassicarpus Nutt.	ground plum (Eng.); astragale graines-de-boeuf (Fr.); bi'jikiwi'bûgesan (Ojibwa)	Roots: Mixed with Artemisia frigida, Rosa arkansana and Polygola senega in a decoction applied to wounds to stop bleeding. Decoction taken for convulsions, and as a stimulant [Ojibwa: 47].
Fabaceae, Herb		
Athyrium filix-femina (L.) Roth	common ladyfern (Eng.); athyrium fougère-femelle (Fr.); a'sawan, ana'ganûck (Ojibwa)	Roots: Mixed with Urtica gracilis in a decoction used to treat stoppage of urine [Ojibwa: 47]. Dried, made into a powder and used to heal sores. Tea used to ease milk flow in patients with caked breast [Ojibwa: 87].
Dryopteridaceae, Herb		
Baptisia tinctoria (L.) R. Br.	black root, wild indigo (Eng.); baptisie des teinturiers (Fr.); chepatakwawutupe (Cree)	Medicinal plant [Ojibwa: 86]. 
Fabaceae, Herb		Roots: Mixed with Pyrola uliginosa, Galium aperine, Aralia racemosa, Streptopus amplexifolius, Acer pennsylvanicum, and Eupatorium perfoliatum in small quantities, steeped and drunk in gonorrhea, kidney problems, and blood spitting [Algonquians: 63]. 
		Rhizomes: Powder use as an emetic, cathartic, and on ulcers and syphilitic sores [Cree: 74].
*Berberis vulgaris L.	barberry (Eng.); berbéris vulgaire, épine-vinette (Fr.)	Roots or bark: Mashed and applied to ulcerated gums and sore throat [Algonquians: 63].
Berberidaceae, Shrub		
Betula alleghaniensis Britton	yellow birch (Eng.); bouleau jaune, merisier (Fr.); wilen (Innu)	Bark: Infusion taken for dysentery [Algonquin: 75]. Used in rheumatism, also chewed or steeped and used against diarrhoea, indigestion and stomach cramps [Mi'kmaq: 62]. Used to make plasters [Innu: 72].
Syn.: B. lutea Michx. f.		
Betulaceae, Tree		
Betula glandulosa Michx.	glandular birch, dwarf birch (Eng.); bouleau glanduleux (Fr.); huu t'an (Dene); ínt'ánbandhaze (Chipewyan)	Whole plant: Tea taken to treat stomach problems [Dene: 100].
Betulaceae, Shrub		Inner bark: Used to treat stomach problems [Dene: 100].
		Leaves: Used to treat insect bites [Dene: 100]. 
		Twigs: Chewed and applied to deep cuts [Chipewyan: 92].
Betula lenta L.	black birch (Eng.); bouleau flexible, merisier rouge (Fr.); winsik, kade-wigwas	Medicinal plant [Algonquin: 69].
Betulaceae, Tree		Bark: Mixed with beech (Fagus grandifolia) and red-osier dogwood (Cornus stolonifera) as a remedy for pulmonary trouble. Decoction used against pneumonia and diarrhoea [Chippewa: 85]. 
		Sap: Drunk in tiredness [55].
Betula nana L.	bog birch, dwarf birch, glandular birch (Eng.); boleau nain, bouleau de savane (Fr.)	Twigs: Fresh twigs chewed and put on a deepcut to stop bleeding [Dene: 13].
Betulaceae, Shrub		Stem and leaves: Boiled to make a weight loss tea [Dene: 13].
Betula nana L. ssp. exilis (Sukaczev) Hultén	dwafr birch (Eng.); bouleau grêle (Fr.); wi'umis'sik (Ojibwa)	Inner bark: Mixed with Acer saccharinum in a decoction taken as a diuretic [Ojibwa: 84]. 
